year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2002,USC,Pac-12,26.1,,,40.1,,,,,,,,,14.1,,,,,,,,,,
2002,Miami,ACC,21.1,,,39.5,,,,,,,,,18.4,,,,,,,,,,
2002,Oklahoma,Big 12,19.6,,,36.8,,,,,,,,,17.3,,,,,,,,,,
2002,Kansas State,Big 12,18,,,36.7,,,,,,,,,18.7,,,,,,,,,,
2002,Georgia,SEC,17.9,,,32.4,,,,,,,,,14.4,,,,,,,,,,
2002,Ohio State,Big Ten,17.6,,,29.9,,,,,,,,,12.3,,,,,,,,,,
2002,Texas,Big 12,17.3,,,33.7,,,,,,,,,16.4,,,,,,,,,,
2002,Florida State,ACC,16.7,,,34.4,,,,,,,,,17.7,,,,,,,,,,
2002,Alabama,SEC,16.6,,,30.1,,,,,,,,,13.4,,,,,,,,,,
2002,Washington State,Pac-12,14.8,,,34.7,,,,,,,,,19.9,,,,,,,,,,
2002,Michigan,Big Ten,14.5,,,31.3,,,,,,,,,16.8,,,,,,,,,,
2002,Penn State,Big Ten,14.4,,,33.1,,,,,,,,,18.7,,,,,,,,,,
2002,Iowa,Big Ten,14.2,,,35.6,,,,,,,,,21.4,,,,,,,,,,
2002,Colorado,Pac-12,13.3,,,32.5,,,,,,,,,19.2,,,,,,,,,,
2002,Auburn,SEC,12.6,,,29.7,,,,,,,,,17.1,,,,,,,,,,
2002,NC State,ACC,12.6,,,30.6,,,,,,,,,18,,,,,,,,,,
2002,Notre Dame,FBS Independents,11.1,,,25,,,,,,,,,13.8,,,,,,,,,,
2002,Virginia Tech,ACC,10.9,,,30.2,,,,,,,,,19.2,,,,,,,,,,
2002,Maryland,Big Ten,10.7,,,29.7,,,,,,,,,19,,,,,,,,,,
2002,Texas Tech,Big 12,10.3,,,40.1,,,,,,,,,29.8,,,,,,,,,,
2002,UCLA,Pac-12,10.2,,,32.5,,,,,,,,,22.3,,,,,,,,,,
2002,Florida,SEC,10.1,,,28.6,,,,,,,,,18.6,,,,,,,,,,
2002,Arkansas,SEC,9.7,,,27.9,,,,,,,,,18.2,,,,,,,,,,
2002,South Florida,American Athletic,9.7,,,28.2,,,,,,,,,18.4,,,,,,,,,,
2002,Iowa State,Big 12,9.4,,,33,,,,,,,,,23.6,,,,,,,,,,
2002,Pittsburgh,ACC,9.4,,,26.3,,,,,,,,,16.9,,,,,,,,,,
2002,LSU,SEC,9.4,,,26.1,,,,,,,,,16.7,,,,,,,,,,
2002,Virginia,ACC,8.9,,,31.2,,,,,,,,,22.3,,,,,,,,,,
2002,West Virginia,Big 12,8.8,,,30.9,,,,,,,,,22.1,,,,,,,,,,
2002,Oregon State,Pac-12,8.7,,,30.3,,,,,,,,,21.5,,,,,,,,,,
2002,Boise State,Mountain West,8.4,,,36.3,,,,,,,,,27.9,,,,,,,,,,
2002,Wisconsin,Big Ten,8.2,,,28.8,,,,,,,,,20.7,,,,,,,,,,
2002,California,Pac-12,7.9,,,35.1,,,,,,,,,27.1,,,,,,,,,,
2002,Washington,Pac-12,7.7,,,32.3,,,,,,,,,24.6,,,,,,,,,,
2002,Boston College,ACC,7.3,,,28.4,,,,,,,,,21.2,,,,,,,,,,
2002,Purdue,Big Ten,6.8,,,28.9,,,,,,,,,22.1,,,,,,,,,,
2002,Cincinnati,American Athletic,6.2,,,29.4,,,,,,,,,23.3,,,,,,,,,,
2002,Tennessee,SEC,6,,,23,,,,,,,,,17,,,,,,,,,,
2002,Colorado State,Mountain West,5.9,,,29.8,,,,,,,,,23.8,,,,,,,,,,
2002,Arizona State,Pac-12,5.9,,,34.5,,,,,,,,,28.6,,,,,,,,,,
2002,Missouri,SEC,4.6,,,32,,,,,,,,,27.4,,,,,,,,,,
2002,Nebraska,Big Ten,4.4,,,27.8,,,,,,,,,23.4,,,,,,,,,,
2002,Georgia Tech,ACC,4.4,,,23.2,,,,,,,,,18.8,,,,,,,,,,
2002,Oklahoma State,Big 12,4.2,,,33.3,,,,,,,,,29.1,,,,,,,,,,
2002,Texas A&M,SEC,4.1,,,28.1,,,,,,,,,24,,,,,,,,,,
2002,Toledo,Mid-American,3.9,,,33.3,,,,,,,,,29.4,,,,,,,,,,
2002,Wake Forest,ACC,3.8,,,28.2,,,,,,,,,24.4,,,,,,,,,,
2002,TCU,Big 12,3.7,,,26.1,,,,,,,,,22.4,,,,,,,,,,
2002,Clemson,ACC,3.6,,,27.9,,,,,,,,,24.3,,,,,,,,,,
2002,Minnesota,Big Ten,3.5,,,29,,,,,,,,,25.5,,,,,,,,,,
2002,Illinois,Big Ten,2.8,,,28.6,,,,,,,,,25.8,,,,,,,,,,
2002,Ole Miss,SEC,2.3,,,27.4,,,,,,,,,25.1,,,,,,,,,,
2002,Oregon,Pac-12,2.2,,,31.9,,,,,,,,,29.7,,,,,,,,,,
2002,Miami (OH),Mid-American,1.7,,,30.4,,,,,,,,,28.7,,,,,,,,,,
2002,Southern Mississippi,Conference USA,1.3,,,19.6,,,,,,,,,18.3,,,,,,,,,,
2002,Northern Illinois,Mid-American,1.3,,,28.8,,,,,,,,,27.4,,,,,,,,,,
2002,North Texas,Conference USA,1.1,,,17.8,,,,,,,,,16.7,,,,,,,,,,
2002,Kentucky,SEC,0.8,,,29,,,,,,,,,28.2,,,,,,,,,,
2002,Louisville,ACC,0.7,,,27,,,,,,,,,26.3,,,,,,,,,,
2002,Air Force,Mountain West,0.5,,,28.8,,,,,,,,,28.4,,,,,,,,,,
2002,Hawai'i,Mountain West,0.4,,,30.8,,,,,,,,,30.4,,,,,,,,,,
2002,Bowling Green,Mid-American,-0.4,,,33.8,,,,,,,,,34.2,,,,,,,,,,
2002,Tulane,American Athletic,-0.5,,,24.2,,,,,,,,,24.7,,,,,,,,,,
2002,UCF,American Athletic,-0.6,,,28.9,,,,,,,,,29.5,,,,,,,,,,
2002,Marshall,Conference USA,-0.8,,,29,,,,,,,,,29.8,,,,,,,,,,
2002,South Carolina,SEC,-0.9,,,19.8,,,,,,,,,20.6,,,,,,,,,,
2002,Fresno State,Mountain West,-1.3,,,26.4,,,,,,,,,27.7,,,,,,,,,,
2002,Stanford,Pac-12,-1.7,,,26.5,,,,,,,,,28.2,,,,,,,,,,
2002,Arizona,Pac-12,-3,,,21,,,,,,,,,24,,,,,,,,,,
2002,Syracuse,ACC,-3.4,,,29,,,,,,,,,32.3,,,,,,,,,,
2002,Temple,American Athletic,-3.6,,,23.3,,,,,,,,,26.9,,,,,,,,,,
2002,Connecticut,American Athletic,-3.9,,,23.9,,,,,,,,,27.7,,,,,,,,,,
2002,New Mexico,Mountain West,-4.2,,,22.4,,,,,,,,,26.6,,,,,,,,,,
2002,North Carolina,ACC,-4.2,,,24.7,,,,,,,,,28.9,,,,,,,,,,
2002,Michigan State,Big Ten,-4.4,,,27.6,,,,,,,,,32,,,,,,,,,,
2002,Utah,Pac-12,-5,,,19,,,,,,,,,24,,,,,,,,,,
2002,East Carolina,American Athletic,-5.6,,,27.8,,,,,,,,,33.4,,,,,,,,,,
2002,San Diego State,Mountain West,-5.6,,,24.9,,,,,,,,,30.5,,,,,,,,,,
2002,Vanderbilt,SEC,-5.7,,,20.9,,,,,,,,,26.5,,,,,,,,,,
2002,Western Michigan,Mid-American,-5.8,,,22.9,,,,,,,,,28.7,,,,,,,,,,
2002,Nevada,Mountain West,-6.5,,,26.1,,,,,,,,,32.5,,,,,,,,,,
2002,Duke,ACC,-7.1,,,20.6,,,,,,,,,27.7,,,,,,,,,,
2002,Houston,American Athletic,-7.1,,,26.2,,,,,,,,,33.3,,,,,,,,,,
2002,BYU,FBS Independents,-8,,,21.2,,,,,,,,,29.2,,,,,,,,,,
2002,Memphis,American Athletic,-8.1,,,21.9,,,,,,,,,30,,,,,,,,,,
2002,UNLV,Mountain West,-8.2,,,23.3,,,,,,,,,31.5,,,,,,,,,,
2002,Ball State,Mid-American,-8.3,,,21.6,,,,,,,,,29.9,,,,,,,,,,
2002,Ohio,Mid-American,-8.5,,,25,,,,,,,,,33.5,,,,,,,,,,
2002,Northwestern,Big Ten,-8.7,,,27.6,,,,,,,,,36.3,,,,,,,,,,
2002,Mississippi State,SEC,-8.7,,,18.4,,,,,,,,,27.1,,,,,,,,,,
2002,San José State,Mountain West,-8.8,,,28.1,,,,,,,,,36.9,,,,,,,,,,
2002,New Mexico State,FBS Independents,-9.3,,,22.6,,,,,,,,,32,,,,,,,,,,
2002,Wyoming,Mountain West,-9.6,,,25.1,,,,,,,,,34.7,,,,,,,,,,
2002,Indiana,Big Ten,-9.6,,,25.3,,,,,,,,,34.9,,,,,,,,,,
2002,Middle Tennessee,Conference USA,-9.8,,,22,,,,,,,,,31.8,,,,,,,,,,
2002,Louisiana Tech,Conference USA,-11.2,,,25.5,,,,,,,,,36.7,,,,,,,,,,
2002,Akron,Mid-American,-11.2,,,23.2,,,,,,,,,34.5,,,,,,,,,,
2002,UAB,Conference USA,-12,,,20.6,,,,,,,,,32.6,,,,,,,,,,
2002,Baylor,Big 12,-12.5,,,22.7,,,,,,,,,35.2,,,,,,,,,,
2002,Utah State,Mountain West,-12.5,,,27.2,,,,,,,,,39.6,,,,,,,,,,
2002,Navy,American Athletic,-13.2,,,23.7,,,,,,,,,36.9,,,,,,,,,,
2002,Rutgers,Big Ten,-13.3,,,16.4,,,,,,,,,29.7,,,,,,,,,,
2002,Rice,Conference USA,-13.3,,,18.3,,,,,,,,,31.6,,,,,,,,,,
2002,Central Michigan,Mid-American,-14.5,,,20.4,,,,,,,,,34.9,,,,,,,,,,
2002,Troy,Sun Belt,-14.9,,,12,,,,,,,,,26.9,,,,,,,,,,
2002,Louisiana Monroe,Sun Belt,-15,,,21.8,,,,,,,,,36.8,,,,,,,,,,
2002,Kent State,Mid-American,-15.1,,,18.1,,,,,,,,,33.3,,,,,,,,,,
2002,Louisiana,Sun Belt,-15.3,,,15.4,,,,,,,,,30.7,,,,,,,,,,
2002,Kansas,Big 12,-16.2,,,23.2,,,,,,,,,39.4,,,,,,,,,,
2002,Arkansas State,Sun Belt,-16.2,,,15.8,,,,,,,,,32,,,,,,,,,,
2002,SMU,American Athletic,-18.8,,,14.9,,,,,,,,,33.8,,,,,,,,,,
2002,Buffalo,Mid-American,-20,,,15.8,,,,,,,,,35.7,,,,,,,,,,
2002,UTEP,Conference USA,-20.6,,,20.5,,,,,,,,,41.1,,,,,,,,,,
2002,Eastern Michigan,Mid-American,-21.1,,,24.2,,,,,,,,,45.3,,,,,,,,,,
2002,Tulsa,American Athletic,-21.6,,,16.3,,,,,,,,,37.9,,,,,,,,,,
2002,Army,FBS Independents,-22.5,,,19.1,,,,,,,,,41.6,,,,,,,,,,
2002,nationalAverages,,-0.00085472194557516,,,26.71623924451,,,,,,,,,26.7128205747686,,,,,,,,,,
