,Ln,Dn,Ds,DForm,OForm,Box,WR,RB,TE,Play,Player,Type,Yards,description,YTEZ,YTG,PassDown,Block,RollingAvg5,RollingAvg10,RollingAvg20,RollingAvg40,TypeNum,YardsGained,NetYards,Catch,Success,NetSuccess,3yds,PenaltyYards,FirstDown,BigPlay,BigPlay10+,BigPlay20+,BigPlay30+,BigPlay40+,Game,PlayNum,Year
0,m20,1,10,4-3 even,shotgun 3-wide,7,3.0,1.0,1.0,power o,charbonnet,run,6,"
jet fake, power the other way. no read, 6 v 7 in box. rutgers then has a guy hanging outside of the force guy so m gets it back. onwenu(+2) puts a dt on the ground, immediate pancake. bredeson(+0.5) pulls and gets his kickout. mayfield(+0.5) gets a free release to a lb and gets him. no one really shows for eubanks; he should probably look for work before the ls, either the lb who screwed up and is coming back or the dt able to peel off ruiz’s(-0.5) block.those two guys tackle from the side at 3 yards, yac.
",80,10,0,,,,,,0,6.0,6.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-rutgers,0,2019
1,m26,2,4,nickel over,shotgun 3-wide,6.5,3.0,1.0,1.0,waggle out,bell,pass,14,"
stretch pa, rollout into a pretty standard waggle with a guy in the flat and some deeper routes. bell (route+) draws man coverage vs a safety and breaks it back upfield, open by yards. patterson makes no mistake. (ca, 3, protection n/a, rps +1
",74,4,0,,0.0,0.0,0.0,0.0,1,14.0,14.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-rutgers,1,2019
2,m40,1,10,4-3 even sam,shotgun trips te,7.5,3.0,1.0,1.0,down cg,turner,run,2,"
block down on the dl, pull two guys around. this a legitimate 6 v 8 box with a safety at six yards so even though all the blocks get made it doesn’t go anywhere. eubanks(+0.5) and mayfield(+0.5) get additional shoves on guys already slanting away. onwenu(+0.5) gets a kick; ruiz(+0.5) finds another lb. turner makes a late decision right off ruiz’s butt and still gets truck sticked by the safety. rps –1.
",60,10,0,,0.5,0.5,0.5,0.5,0,2.0,2.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-rutgers,2,2019
3,m42,2,8,nickel even,pistol twins twin te,6.5,2.0,1.0,2.0,zone stretch,turner,run,10,"
gap is largely because onwenu(+1) and ruiz(+1) end up doubling a dt and blowing him four yards downfield. mayfield(+0.5) found and got a second level block; turner(+0.5) slides through the gaps efficiently. bredeson(-0.5) had some issues with the other dt but did have enough of an impact to prevent a tackle at the los.
",58,8,1,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,10.0,10.0,,1.0,1.0,1,0,0,0,1,0,0,0,2019-offense-vs-rutgers,3,2019
4,o48,1,10,nickel even,shotgun 3-wide tight,6.5,3.0,1.0,1.0,out,collins,pass,48,"
this is really just a five yard out that the db is so far off on that he can’t tackle. his post throw angle is a lot of it, this could have been 12 yards. instead a blown tackle attempt that’s not even a plus for collins and gone. all(+0.5) with the cutoff on the s that he makes clear is not flag-worthy by pulling off enough. (ca, 3, protection 1/1) collins route + i guess?
",48,10,0,,0.25,0.25,0.25,0.25,1,48.0,48.0,1.0,1.0,1.0,1,0,0,1,1,1,1,1,2019-offense-vs-rutgers,4,2019
5,m39,1,10,4-3 even,pistol trips te,7.5,3.0,1.0,1.0,deep out,bell,pass,17,"
a million years for patterson, who has patience and finds bell as he goes from wr #3 to a 15-yard out. ball is high and forces a leaping catch out of bell; torn. there is a zone defender underneath sort of and this could be safety first. it does prevent a potential bunch of yac. (ma, 2, protection 3/3)
",61,10,0,,0.4,0.4,0.4,0.4,1,17.0,17.0,1.0,1.0,1.0,1,0,0,1,1,0,0,0,2019-offense-vs-rutgers,5,2019
6,o44,1,10,4-3 even sam,shotgun twins twin te,7,2.0,1.0,2.0,inside zone,charbonnet,run,8,"
jet fake. iz. onwenu(+1) again puts his guy a couple yards from where he wants to be. m doubles an end with mayfield(+1) releasing and getting a good, moving second level block. i think eubanks(-1) messed up and is supposed to step around; both guys release and de could be trouble if this doesn’t hit as quickly as it does. charbonnet(+1) has a slick cut right off mayfield and spins through a safety tackle that collins(-1) was not assertive enough on with his block.
",44,10,0,,0.6,0.5,0.5,0.5,0,8.0,8.0,,1.0,1.0,1,0,0,0,0,0,0,0,2019-offense-vs-rutgers,6,2019
7,o36,2,2,4-3 even sam,shotgun 4-wide tight,7,2.0,1.0,2.0,inside zone,charbonnet,run,4 (pen -5),"
first play on which a read is even threatened and ye gods this is a pull. i am assuming it is not a real read. it’s such a pull read (even though it is not a read) that charbonnet’s(+0.5) best move is to cut all the way back since there’s a de crashing hard on eubanks. no gap as a result of the crash and then the de is able to peel back and get in a tackle. jackson(-1) is the guy i’m blaming for the illegal formation.
",36,2,0,,0.4,0.42857142857142855,0.42857142857142855,0.42857142857142855,0,,,,,,0,-5,0,0,0,0,0,0,2019-offense-vs-rutgers,7,2019
8,o41,2,7,nickel over,shotgun 2-back,6,3.0,1.0,1.0,outside zone,charbonnet,run,4,"
jackson in backfield, flare motion out. i’m rusty on my oz, but: backside dt fires hard and i think ruiz(-1) needs to feel that and give onwenu help. onwenu(+0.5) battles hard and does a pretty good job to stall this guy out after his first step got him into the backfield but he has to give ground to do so and charbonnet has to bend around this. mayfield(+1) gets a good backside cut; bredeson(+0.5) initially stalled but gets some depth on the other dt eventually. ruiz goes for a lb and that guy is headed to a gap outside; charbonnet(+0.5) cuts back and just can’t quite get past the first level because of the bend.
",41,7,0,,0.4,0.375,0.375,0.375,0,4.0,4.0,,0.0,0.0,1,0,0,0,0,0,0,0,2019-offense-vs-rutgers,8,2019
9,o37,3,3,4-3 over,shotgun trips tight bunch,7,3.0,1.0,1.0,false start,onwenu,penalty,-5,"
onwenu -1.
",37,3,0,,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-5.0,-5.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-rutgers,9,2019
10,o42,3,8,okie one,shotgun trips te,6.5,3.0,1.0,1.0,throwaway,,pass,inc (pen +10),"
very bad from patterson, who appears to lock in on bell the whole play. rutgers drops a lb into that throwing lane. patterson has forever and due to some yakety sax that knocks a rutgers db over, dpj is wide open for a walk-in td. patterson never finds it. he bails the pocket after forever and boots it oob. m gets lucky as refs(+3) throw a horrible holding flag on a rutgers db. (tax, 0, protection 3/3)
",42,8,1,,0.2,0.3,0.3,0.3,1,,10.0,0.0,,1.0,0,10,1,0,0,0,0,0,2019-offense-vs-rutgers,10,2019
11,o32,1,10,4-3 under,shotgun 2-back,7,3.0,1.0,1.0,dumpoff,haskins,pass,5 (pen +10),"
mayfield(-2) beat pretty much clean around the corner. he pushes the de to nine yards instead of eight and that is enough time for patterson to get the ball out under duress. (ca+, 3, protection 0/2). another holding call on rutgers; no replay, dunno.
",32,10,0,,0.2,0.4,0.36363636363636365,0.36363636363636365,1,,15.0,,,1.0,0,10,1,0,0,0,0,0,2019-offense-vs-rutgers,11,2019
12,o22,1,10,nickel even,pistol 3-wide,7,3.0,1.0,1.0,pin and pull,turner,run,1,"
eubanks(-2) loses his edge block against the de. can’t run pnp and lose the emlos block. turner cuts back. runyan’s guy is chasing but this always happens on pnp because you’re giving up backside blocking angles.
",22,10,0,,0.4,0.4,0.4166666666666667,0.4166666666666667,0,1.0,1.0,,0.0,0.0,0,0,0,0,0,0,0,0,2019-offense-vs-rutgers,12,2019
