year,team,conference,rating,secondOrderWins,sos,offense.rating,offense.success,offense.explosiveness,offense.rushing,offense.passing,offense.standardDowns,offense.passingDowns,offense.runRate,offense.pace,defense.rating,defense.success,defense.explosiveness,defense.rushing,defense.passing,defense.standardDowns,defense.passingDowns,defense.havoc.total,defense.havoc.frontSeven,defense.havoc.db,specialTeams.rating
2008,USC,Pac-12,37,12.3,0.884,44.4,132.2,108.2,117.4,125.6,120.5,122.1,0.475,0.4,7.2,126.8,135,127.5,132.7,121.3,147.2,0.227,0.137,0.09,-0.3
2008,Texas,Big 12,36,10.9,0.855,50.3,121.4,104.3,109.7,117.5,110.6,125.4,0.42,-0.1,15.8,117.9,101.2,118.2,110.3,111.2,107.5,0.209,0.132,0.076,1.5
2008,Florida,SEC,34.7,13.1,0.865,43.7,130.8,107.8,125.3,120.7,120.8,116.8,0.57,1.5,11.2,116.6,116.3,114.6,118.3,114.1,115.4,0.183,0.107,0.076,2.2
2008,Oklahoma,Big 12,32.4,11.7,0.814,52.3,124.3,113.9,113.6,125.7,116.1,127.6,0.464,-4.3,18.1,117.5,94.5,108.6,108.5,106.2,107.4,0.207,0.146,0.061,-1.8
2008,Penn State,Big Ten,29.5,11.1,0.879,41.1,123.1,106,118.6,115.3,112.3,121.4,0.531,0.7,13.5,111.7,117.1,120,109.5,113.2,116.3,0.188,0.13,0.057,2
2008,Iowa,Big Ten,25.5,11,0.929,35.4,112.2,104.3,112.6,107.8,111.9,96.7,0.566,2.1,10.9,112.8,118.4,125.1,111.1,107.9,132.8,0.178,0.112,0.066,1
2008,Missouri,SEC,24,10.3,0.863,43.8,120.5,102.5,110.6,112.2,114.3,103.9,0.369,-3.6,22.3,103.9,109.4,114.4,103.5,105.1,109.7,0.182,0.122,0.058,2.5
2008,Oklahoma State,Big 12,23.4,9.1,0.85,46.5,115.8,110.3,113.8,118,112.4,112.6,0.595,-0.8,24.5,101.3,105,100.5,105.2,102,106.3,0.168,0.086,0.083,1.4
2008,Texas Tech,Big 12,23,9.8,0.851,49.8,127.2,97.7,119.1,110.6,110.9,124.8,0.283,-0.6,25.5,93.2,113.3,97.4,102.5,96.4,111.8,0.165,0.094,0.071,-1.2
2008,Alabama,SEC,23,10.9,0.883,34.2,118.5,97.7,113.1,109.5,110.9,104.5,0.57,2.4,10.9,115.9,110.6,127.1,109.1,116.8,105.4,0.193,0.099,0.094,-0.3
2008,Ohio State,Big Ten,22.7,8.8,0.85,32.7,103.8,108.3,109.8,106.1,101.8,114.7,0.63,2.8,12.2,109,119.1,103.6,120.5,108.9,119.3,0.18,0.117,0.061,2.3
2008,Georgia,SEC,20.9,9.3,0.891,39.2,113.1,122.3,105,124.8,117.5,114.7,0.504,2.8,18.3,99.8,101.3,102.2,100.5,100.3,103.4,0.158,0.11,0.048,0.1
2008,LSU,SEC,20.8,8,0.889,35.7,110.1,97.8,110.5,102,105.2,105.6,0.543,-0.3,17.5,105.9,101.7,106.8,102.9,102.6,101.2,0.187,0.111,0.076,2.6
2008,Boise State,Mountain West,19.8,11.7,0.959,33.8,112.3,104.6,97.6,115.2,106.8,108.9,0.463,-1,15,124.4,113.6,122.9,118.4,117.7,123,0.196,0.109,0.087,1
2008,Oregon,Pac-12,19.6,9.9,0.874,38.4,104.4,128.7,122.2,107.2,113.3,112.2,0.582,-6.8,18.3,113.5,99.5,118,103.6,106.6,108.8,0.195,0.119,0.075,-0.5
2008,TCU,Big 12,19.2,11.5,0.919,30.5,106.3,90.6,100.6,101.3,101.8,97,0.571,-0.6,11.8,146.2,97.7,138.8,118.1,128.6,106.5,0.253,0.146,0.107,0.5
2008,Nebraska,Big Ten,18.9,8.6,0.885,42,112.6,103.9,101.5,113.3,108.6,110.2,0.475,2.3,23.8,108.2,89,97.7,98.9,100.7,94.2,0.199,0.116,0.083,0.7
2008,Florida State,ACC,18.7,9.1,0.907,33.8,113,98.4,114.5,99.8,106,106.8,0.524,1.5,17.7,110.1,90.6,95.9,105,98.3,108.7,0.24,0.177,0.063,2.6
2008,Utah,Pac-12,18.2,10.5,0.939,31.5,111.1,96.6,102.6,105,107,101.4,0.479,1,15.6,117.7,102.3,114.7,110.6,110.9,105.7,0.209,0.13,0.076,2.3
2008,California,Pac-12,18,9.2,0.894,32.7,93.5,122.5,112.5,101.4,105.2,106.8,0.492,0.8,14.3,112.1,111.7,111.3,112.4,110.1,112.5,0.218,0.126,0.09,-0.4
2008,Ole Miss,SEC,17.1,8.5,0.884,35.1,106.3,115,103.5,117.3,106.4,118.2,0.566,0.1,19.6,107.3,99.7,108.5,104.1,105.9,101.3,0.202,0.133,0.068,1.6
2008,Arizona,Pac-12,16.3,8.6,0.9,34.9,109.5,105.2,103.5,109.4,107.5,105.9,0.479,0.6,20.5,104.3,106.3,100,109.4,105.2,104.9,0.193,0.1,0.092,1.9
2008,Kansas,Big 12,16,8.5,0.85,41.9,112.7,101.5,101.5,109.3,107.7,108,0.413,-1,25.4,108.3,96.8,102.7,105.4,104.5,101.7,0.175,0.115,0.057,-0.5
2008,Ball State,Mid-American,14.3,12,0.989,38.9,113.6,103.6,107.5,111.6,109.2,110,0.515,0.8,26.1,100.6,105.6,100.7,105.2,100.9,108.6,0.174,0.09,0.083,1.5
2008,Oregon State,Pac-12,14.2,9.2,0.856,33.7,109.5,104.4,107.5,107.6,103.6,115.3,0.489,0.1,19.1,115.2,92.5,105.9,103.5,108.8,95.7,0.218,0.151,0.067,-0.4
2008,Clemson,ACC,12.8,8.1,0.919,27,89.1,111.8,91.9,101.6,97,102.2,0.496,1,14.2,111.3,111.4,106.7,115.8,109.7,115,0.182,0.107,0.074,
2008,BYU,FBS Independents,12.2,9.9,0.952,38.3,125.9,94.8,107.6,114.7,113.3,113.4,0.423,-0.2,26.3,91.2,104.5,98,96.6,98.9,93,0.149,0.115,0.033,0.1
2008,Tennessee,SEC,12,7.3,0.9,19.3,91.6,94.3,99.2,89.4,97.1,83.5,0.536,1.7,6.8,116.8,118.8,134.3,105.8,117,117.4,0.178,0.115,0.061,-0.5
2008,Boston College,ACC,11,9,0.941,23,100.4,89.5,96.6,95.1,94.7,99.4,0.511,0.3,10,112.7,108.4,115.2,111.7,107.9,114.6,0.192,0.14,0.051,-2
2008,Miami,ACC,10.9,5.9,0.904,26.8,88.1,107.5,96.4,94.9,99.3,90.3,0.48,1.1,17.9,104.6,91.1,93.6,101.6,100.4,93.2,0.164,0.122,0.042,2
