year,team,conference,rating,secondOrderWins,sos,offenserating,offensesuccess,offenseexplosiveness,offenserushing,offensepassing,offensestandardDowns,offensepassingDowns,offenserunRate,offensepace,defenserating,defensesuccess,defenseexplosiveness,defenserushing,defensepassing,defensestandardDowns,defensepassingDowns,defensehavoctotal,defensehavocfrontSeven,defensehavocdb,specialTeamsrating
2015,Ohio State,Big Ten,29.5,11.8,0.873,41.3,120.8,101,118.6,107.8,113.8,107.3,0.593,0.9,13.5,122.2,111.6,114.6,117.3,115.8,116.5,0.166,0.12,0.046,1.8
2015,Alabama,SEC,29,13.1,0.777,37.7,110.8,102.4,108.1,108.2,107.7,108.8,0.549,2,9.1,148.9,96.1,140.6,117.5,126.7,111.4,0.232,0.145,0.087,0.4
2015,Ole Miss,SEC,27,11.2,0.826,43.1,121,108.5,106.7,118.6,114.8,111.8,0.431,2.5,17.4,113.3,107.8,116.6,111.1,110.9,112.3,0.202,0.101,0.1,1.4
2015,Clemson,ACC,24,13,0.807,41.9,119.7,104.4,104.8,120,113,107.4,0.521,1.6,17.2,127.9,91.6,110.5,109.3,116.1,95.9,0.209,0.142,0.064,0.7
2015,Florida State,ACC,23.2,11,0.881,38,106.6,112.6,113.4,103.7,103.7,117.4,0.469,2.7,15,112.1,118.9,114,117.1,113.4,117,0.152,0.087,0.064,0.2
2015,Stanford,Pac 12,22.8,11,0.851,44.5,118.3,102.7,110.3,118.8,111.7,109.5,0.601,4.7,24.5,105.3,102.8,101.8,106.9,103.5,108.2,0.16,0.107,0.053,2.8
2015,Oklahoma,Big 12,22.7,10.2,0.85,41.7,110.9,110.3,105.1,112.9,114.8,92.3,0.494,1.8,19.3,116.7,111.5,114.1,116.1,112.4,119.1,0.162,0.107,0.055,0.3
2015,Notre Dame,FBS Independents,22.4,11,0.818,44.1,118.6,115.5,119.5,115.3,111.7,128.8,0.507,1.5,21.2,107.2,98.5,101.5,104.6,102.3,103.5,0.161,0.106,0.055,0.4
2015,North Carolina,ACC,20,11.7,0.875,43.3,117.4,112.5,120.2,110.8,114.8,111.2,0.515,2.7,25.3,91,117,92.8,107.5,98.6,106,0.139,0.073,0.066,2
2015,Michigan,Big Ten,19.7,10.5,0.87,35.2,110.3,101.7,99.4,111.7,102.1,115.1,0.481,3.7,16.2,119.6,97.3,107.5,110.9,110.9,103.9,0.193,0.105,0.088,0.8
2015,LSU,SEC,19.7,8.7,0.796,41.3,104.7,115.4,113.9,107.6,107.3,119.4,0.622,2.1,21.8,111.3,105.7,105.2,112.1,107.6,106.9,0.18,0.109,0.069,0.2
2015,Tennessee,SEC,19.5,9.4,0.844,35.7,108.6,104.3,110.5,104.7,104.1,110.9,0.582,2.2,17.8,111.1,99.8,109.2,104.1,103.6,111.2,0.168,0.093,0.073,1.6
2015,Baylor,Big 12,19.5,10.7,0.878,45.1,114.9,105.2,110.5,115.4,112.2,107.5,0.618,7,24.1,108.4,108.1,109.7,106.2,109.6,104.1,0.174,0.098,0.075,1.5
2015,Arkansas,SEC,19.2,8.7,0.803,46.6,125.2,102.1,109.9,122.2,110,125.9,0.526,4.7,28,93.1,104.5,104,94.5,97.1,101.3,0.156,0.092,0.063,0.5
2015,TCU,Big 12,19,10.5,0.875,40.8,107.3,103.8,100.5,109,104.9,105.7,0.471,2.1,21.7,116.4,99.3,110.5,104.1,111.5,96.8,0.159,0.08,0.077,0.1
2015,UCLA,Pac 12,18.6,9.3,0.873,42.4,106.8,103.9,106.8,103.9,102.9,110,0.438,3.2,22.6,102,120.7,99.7,115.2,103.9,124.5,0.149,0.1,0.048,1.2
